SOURCE OF WATER,WATER SYSTEM,PFAS RESULT,POTENTIAL PFAS USER,INDICATOR SCORE,DISTANCE
SWP,SO WOODFORD CO WATER DISTRICT,NS,FORTERRA CONCRETE INDUSTRIES INC - LEXINGTON,50,9.886757462
SWP,BOONE CO WATER & SEWER DISTRICT,NS,IOFINA CHEMICAL INC,100,9.878948213
SWP,BUFFALO TRAIL WATER ASSOC,NS,WALD LLC,50,9.875838331
SWP,SOUTHEASTERN WATER ASSOC/NELSON VALLEY,NS,KINGSFORD MANUFACTURING CO,100,9.872798848
SW,KUTTAWA WATER DEPARTMENT,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,9.840425296
SWP,LYON COUNTY WATER DISTRICT,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,9.840425296
SWP,OAK GROVE UTILITIES OFFICE,NS,COMMONWEALTH AGRI-ENERGY LLC,100,9.809619177
SWP,MARTIN WATER DEPARTMENT,NS,FEDERAL BUREAU OF PRISONS USP BIG SANDY,25,9.806097824
SW,EDDYVILLE WATER DEPARTMENT,NS,HYDRO GEAR,25,9.797787784
SWP,EAST CLARK CO WATER DISTRICT,NS,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,9.791175958
SWP,CHRISTIAN CO WATER DISTRICT,NS,AMFINE CHEMICAL CORP,100,9.778629179
SW,VERSAILLES WATER SYSTEM,NS,NASHVILLE WIRE PRODUCTS,50,9.77804684
SW,KUTTAWA WATER DEPARTMENT,NS,EVONIK CORP CALVERT CITY PLANT,100,9.777790078
SWP,LYON COUNTY WATER DISTRICT,NS,EVONIK CORP CALVERT CITY PLANT,100,9.777790078
SWP,SLAUGHTERS WATER WORKS,NS,BIG RIVERS ELECTRIC CORP REID/GREEN/HMP&L STATION II,25,9.777661728
SWP,MARION COUNTY WATER DISTRICT,NS,ALLTECH INC,25,9.775540499
GW,ARLINGHAUS PROPERTY,ND,BENDA-LUTZ CORP,100,9.772409413
GW,TRAPP WATER COMPANY,ND,BENDA-LUTZ CORP,100,9.772409413
SW,BULLOCK PEN WATER DISTRICT,NS,GOTEC PLUS SUN LLC,50,9.763537259
SWP,HANSON WATER SYSTEM,NS,JLOK CORP,100,9.75472621
SWP,SO ANDERSON WATER DISTRICT,NS,YOKOHAMA INDUSTRIES AMERICAS INC,25,9.751527275
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,YOKOHAMA INDUSTRIES AMERICAS INC,25,9.751499509
SWP,AUBURN MUN WATER WORKS,NS,FRITZ WINTER,50,9.746074062
SW,BULLOCK PEN WATER DISTRICT,NS,KUSTOM GROUP,100,9.740305508
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,TRANE INGERSOLL RAND,25,9.735489939
SW,CORBIN UTILITIES COMMISSION,NS,JACKSON WWS INC,25,9.721421876
SWP,BLOOMFIELD WATER & SEWER DEPT,NS,TOWER AUTOMOTIVE INC,25,9.719567899
SWP,SO ANDERSON WATER DISTRICT,NS,YOKOHAMA INDUSTRIES AMERICAS (SEALANT DIV),100,9.697055843
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,YOKOHAMA INDUSTRIES AMERICAS (SEALANT DIV),100,9.697028848
SW,BULLOCK PEN WATER DISTRICT,NS,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,9.694257581
SW,FRANKFORT PLANT BOARD,1.35,GENERAL CABLE CORP,25,9.69369735
SWP,ELKHORN WATER DISTRICT,NS,TOPY AMERICA INC,25,9.693267985
SWP,PEAKS MILL WATER DISTRICT,NS,TOPY AMERICA INC,25,9.693267985
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,LSC COMMUNICATIONS /DANVILLE,25,9.682441694
SWP,NORTH MERCER WATER DISTRICT,NS,HITACHI AUTOMOTIVE SYSTEMS AMERICAS INC-HK,25,9.681409975
SW,HARTFORD MUNICIPAL WATER WORKS,NS,PERDUE CROMWELL PROCESSING PLANT,25,9.678351483
SWP,NE WOODFORD CO WATER DISTRICT,NS,TOPY AMERICA INC,25,9.676188812
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,DANA SEALING MANUFACTURING LLC,50,9.654062582
SW,KENTUCKY STATE PENITENTIARY,NS,TREEHOUSE FOODS,25,9.648822063
GW,NORTONVILLE WATER WORKS,NS,DYNO NOBEL INC,100,9.646191241
GW,NORTONVILLE WATER WORKS,NS,ENSIGN-BICKFORD AEROSPACE & DEFENSE CO,50,9.646191241
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,BENEKE WIRE CO,50,9.641020844
SWP,SO WOODFORD CO WATER DISTRICT,NS,TOPY AMERICA INC,25,9.629285804
SW,WINCHESTER MUNICIPAL UTILITIES,1.69,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,9.62545848
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,ALTEC INDUSTRIES INC,25,9.614085752
SW,HARDIN COUNTY WATER DISTRICT #1,NS,ALTEC INDUSTRIES INC,25,9.614085752
SWP,VINE GROVE WATER DEPARTMENT,NS,CYTECH PRODUCTS INC,100,9.612726888
GW,ARLINGHAUS PROPERTY,ND,RONAN ENGINEERING CO,25,9.611705203
GW,TRAPP WATER COMPANY,ND,RONAN ENGINEERING CO,25,9.611705203
SWP,SO ANDERSON WATER DISTRICT,NS,LEDVANCE LLC,50,9.610367796
GW,ARLINGHAUS PROPERTY,ND,THUSSENKRUPP ROTHE ERDE USA INC,50,9.606986839
GW,TRAPP WATER COMPANY,ND,THUSSENKRUPP ROTHE ERDE USA INC,50,9.606986839
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,RUSSTECH ADMIXTURES INC,100,9.604759572
SW,FRANKFORT PLANT BOARD,1.35,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,9.596545079
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,SCHNEIDER ELECTRIC USA INC,25,9.592789728
SWP,LEBANON JUNCTION WATER WORKS,NS,LOUISVILLE SEATING SYSTEMS,25,9.590603644
SWP,OWINGSVILLE WATER WORKS,NS,KEY OIL CO MOUNT STERLING BULK PLANT,75,9.587019254
SWP,ELKHORN WATER DISTRICT,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,9.568669025
SWP,PEAKS MILL WATER DISTRICT,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,9.568669025
GWP,DOE VALLEY UTILITIES INC,NS,US ARMY GARRISON FORT KNOX,25,9.553657141
SWP,NE WOODFORD CO WATER DISTRICT,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,9.551331278
SW,OHIO COUNTY WATER DISTRICT,NS,BIG RIVERS ELECTRIC CORP WILSON STATION,25,9.54342907
SWP,SO ANDERSON WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,9.534746773
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,HAYASHI TELEMPU NA,25,9.534620092
SWP,SCIENCE HILL WATER WORKS,NS,HENDRICKSON TRAILER SUSPENSION SYSTEMS,25,9.532013758
SW,BULLOCK PEN WATER DISTRICT,NS,LYONS EAST,50,9.521331245
SW,OHIO COUNTY WATER DISTRICT,NS,PERDUE CROMWELL PROCESSING PLANT,25,9.520674039
SWP,BATH COUNTY WATER DISTRICT,NS,GUARDIAN AUTOMOTIVE - MOREHEAD PLANT,50,9.515224985
GW,LACENTER MUNICIPAL WATER CO,NS,US DOE PADUCAH SITE,25,9.511629925
SW,KNOX COUNTY UTILITY COMMISSION,NS,JACKSON WWS INC,25,9.510996442
SWP,WESTERN PULASKI CO WATER DISTRICT,NS,HENDRICKSON TRAILER SUSPENSION SYSTEMS,25,9.510589143
SWP,VINE GROVE WATER DEPARTMENT,NS,AKEBONO - ELIZABETHTOWN PLANT,25,9.50441039
SWP,AUBURN MUN WATER WORKS,NS,KEY OIL SUPPLY,75,9.497385275
SW,OHIO COUNTY WATER DISTRICT,NS,THE WESTERN KENTUCKY COAL CO - GENESIS MINE,75,9.489462728
SW,KENTUCKY STATE PENITENTIARY,NS,WYMAN GORDON CO,50,9.473066622
SW,HODGENVILLE WATER WORKS,NS,FORTERRA CONCRETE INDUSTRIES INC - ELIZABETHTOWN,50,9.440788138
SWP,LEWISBURG WATER WORKS,NS,CARPENTER CO,50,9.43854583
SWP,ELKHORN WATER DISTRICT,NS,OLDCASTLE PRECAST INC,50,9.435024899
SWP,PEAKS MILL WATER DISTRICT,NS,OLDCASTLE PRECAST INC,50,9.435024899
SWP,SO WOODFORD CO WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,9.431426951
SWP,NE WOODFORD CO WATER DISTRICT,NS,OLDCASTLE PRECAST INC,50,9.422742921
SW,GREENUP WATER SYSTEM,2.47,AK STEEL CORP,50,9.420151063
GWP,S E DAVIESS CO WATER DISTRICT,NS,KIMBERLY-CLARK CORP OWENSBORO OPERATIONS,25,9.418426676
GWP,WEST DAVIESS CO WATER DISTRICT,NS,KIMBERLY-CLARK CORP OWENSBORO OPERATIONS,25,9.418426676
SWP,SO WOODFORD CO WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,9.415409872
SW,SPRINGFIELD WATER WORKS,NS,CURTIS-MARUYASU AMERICA INC,25,9.405383191
SW,HARTFORD MUNICIPAL WATER WORKS,NS,BIG RIVERS ELECTRIC CORP WILSON STATION,25,9.397591708
GW,ARLINGHAUS PROPERTY,ND,FIRESTONE BUILDING PRODUCTS,50,9.392961303
GW,TRAPP WATER COMPANY,ND,FIRESTONE BUILDING PRODUCTS,50,9.392961303
SWP,ELKHORN WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,9.392135765
SWP,PEAKS MILL WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,9.392135765
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,OLDCASTLE PRECAST INC,50,9.391767546
SWP,LAKE VILLAGE WATER ASSOCIATION,NS,DENYO MANUFACTURING CORP,25,9.390479649
SWP,LAKE VILLAGE WATER ASSOCIATION,NS,DANA SEALING MANUFACTURING LLC,50,9.389053308
SW,HARTFORD MUNICIPAL WATER WORKS,NS,THE WESTERN KENTUCKY COAL CO - GENESIS MINE,75,9.382298254
SWP,NE WOODFORD CO WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,9.375378889
SW,SPRINGFIELD WATER WORKS,NS,ANGELL-DEMMEL NA,25,9.371475048
GW,LOCUST VALLEY MOBILE EST,NS,SAPUTO DAIRY FOODS USA LLC,25,9.367980206
SWP,MT WASHINGTON WATER COMPANY,NS,LOUISVILLE SEATING SYSTEMS,25,9.366465042
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,METALSA LIGHT VEHILCLE USA - ELIZABETHTOWN,25,9.362259195
SW,HARDIN COUNTY WATER DISTRICT #1,NS,METALSA LIGHT VEHILCLE USA - ELIZABETHTOWN,25,9.362259195
GW,CARROLL CO WATER DISTRICT #1,ND,CARPENTER CO,50,9.357818888
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,INTELLIGRATED SYSTEMS LLC,25,9.356807546
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,AMERICAN SYNTHETIC RUBBER CO,100,9.356204221
GW,ARLINGHAUS PROPERTY,ND,A O SMITH CORP PROTECTIVE COATINGS DIV,100,9.351851798
GW,TRAPP WATER COMPANY,ND,A O SMITH CORP PROTECTIVE COATINGS DIV,100,9.351851798
SWP,SO WOODFORD CO WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,9.349033638
SWP,SO WOODFORD CO WATER DISTRICT,NS,CERADYNE INC A 3M CO,25,9.336985727
SWP,BURGIN WATER DEPARTMENT,NS,LSC COMMUNICATIONS /DANVILLE,25,9.336526085
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,GE ALSTOM POWER,50,9.329661129
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,FORD MOTOR CO KENTUCKY TRUCK PLANT,25,9.329509755
GW,OLDHAM COUNTY WATER DISTRICT,NS,SAFETY-KLEEN SYSTEMS INC,25,9.325208082
SWP,WESTERN PULASKI CO WATER DISTRICT,NS,TOYOTETSU AMERICA INC,25,9.312798166
SWP,WEST SHELBY WATER DISTRICT,NS,EUROFINS MWG OPERON LLC,100,9.31208178
SW,EDDYVILLE WATER DEPARTMENT,NS,TREEHOUSE FOODS,25,9.305932643
SWP,JESSAMINE CO WATER DISTRICT #1,NS,KENTUCKY UTILITIES CO - E W BROWN STATION,25,9.305601276
SWP,JESSAMINE S ELKHORN WATER DIST,NS,KENTUCKY UTILITIES CO - E W BROWN STATION,25,9.305601276
GW,EDDY CREEK MARINA RESORT LLC,NS,HYDRO GEAR,25,9.305021716
SWP,BIG SANDY WATER DISTRICT,NS,AK STEEL CORP,50,9.302941213
SW,PADUCAH WATER WORKS,8.61,US TVA SHAWNEE FOSSIL PLANT,25,9.300384747
GW,ARLINGHAUS PROPERTY,ND,CAMCO CHEMICAL CO INC,100,9.299563664
GW,TRAPP WATER COMPANY,ND,CAMCO CHEMICAL CO INC,100,9.299563664
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,DENYO MANUFACTURING CORP,25,9.296919071
SWP,MORTONS GAP WATER DEPARTMENT,NS,GE AVIATION,25,9.292508452
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CARDINAL ALUMINUM CO PLAN T 3,50,9.287330142
SWP,ELKHORN WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,9.278344412
SWP,PEAKS MILL WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,9.278344412
SWP,VINE GROVE WATER DEPARTMENT,NS,FLINT CPS INKS NA LLC,100,9.271885558
SWP,NE WOODFORD CO WATER DISTRICT,NS,HAYASHI TELEMPU NA,25,9.264898367
SWP,SOUTHERN MADISON WATER DISTRICT,NS,MIKRON INDUSTRIES INC,50,9.255621201
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,OBARA CORP USA,25,9.252433202
GW,TROCADERO PLAZA,NS,HYDRO ALUMINUM METALS USA LLC,50,9.251455399
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,MEGGITT AIRCRAFT BRAKING SYSTEMS KENTUCKY CORP,25,9.240420581
GW,LOCUST VALLEY MOBILE EST,NS,BRIGGS & STRATTON CORP,25,9.233193134
SW,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,NS,U S SMOKELESS TOBACCO CO EAGLE ONE,25,9.213973886
SWP,LAKE VILLAGE WATER ASSOCIATION,NS,INTELLIGRATED SYSTEMS LLC,25,9.213520997
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,PPG ARCHITECTURAL COATINGS,100,9.213016074
SW,SOMERSET WATER SERVICE,NS,KINGSFORD MANUFACTURING CO,100,9.19884568
SWP,BOONE-FLORENCE WATER COMMISSION,NS,IPSCO TUBULARS (KENTUCKY) INC,50,9.196230455
SWP,FLORENCE WATER & SEWER,NS,IPSCO TUBULARS (KENTUCKY) INC,50,9.196230455
GW,ARLINGHAUS PROPERTY,ND,WELDING ALLOYS USA INC,25,9.191535782
GW,TRAPP WATER COMPANY,ND,WELDING ALLOYS USA INC,25,9.191535782
GW,GALLATIN COUNTY WATER DISTRICT-Plant A,ND,NORTH AMERICAN STAINLESS,50,9.189705563
SWP,BURGIN WATER DEPARTMENT,NS,MEGGITT AIRCRAFT BRAKING SYSTEMS KENTUCKY CORP,25,9.174951901
GW,BAR X TRAILER PARK,NS,EVONIK CORP,100,9.167580775
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,NEMAK; GLASGOW PLANT #2,25,9.160195484
GWP,E DAVIESS CO WATER ASSOC INC,NS,VALOR LLC,75,9.154897101
SWP,SCIENCE HILL WATER WORKS,NS,TOYOTETSU AMERICA INC,25,9.149868903
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,ARKEMA INC LOUISVILLE PLANT,50,9.144265412
SW,EDDYVILLE WATER DEPARTMENT,NS,WYMAN GORDON CO,50,9.138981437
SWP,CANNONSBURG WATER DISTRICT,NS,CALGON CARBON CORP,100,9.12281472
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,ROHM & HAAS - LOUISVILLE PL ANT,100,9.117906681
SW,FRANKFORT PLANT BOARD,1.35,FLORIDA TILE INC,50,9.117171203
GW,BAR X TRAILER PARK,NS,WESTLAKE VINYLS INC,100,9.114671717
GW,CAMP TURNABOUT,NS,INTERPLASTIC CORP-FORT WRIGHT,100,9.112251647
GWP,E DAVIESS CO WATER ASSOC INC,NS,HUNTER DOUGLAS,50,9.107215083
SWP,WESTERN PULASKI CO WATER DISTRICT,NS,KINGSFORD MANUFACTURING CO,100,9.099976104
SWP,SO WOODFORD CO WATER DISTRICT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.095104739
SW,VERSAILLES WATER SYSTEM,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.087958016
SWP,SOUTHERN MADISON WATER DISTRICT,NS,AGC FLAT GLASS N AMERICA INC,50,9.076756947
SW,VERSAILLES WATER SYSTEM,NS,GREENHECK FAN CORP KENTUCKY,25,9.074618459
SW,KUTTAWA WATER DEPARTMENT,NS,EVONIK CORP,100,9.054270028
SWP,LYON COUNTY WATER DISTRICT,NS,EVONIK CORP,100,9.054270028
GW,NORTH MARSHALL WATER DISTRICT #1,NS,ARKEMA INC,100,9.048629464
SWP,ELKHORN WATER DISTRICT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.035277979
SWP,PEAKS MILL WATER DISTRICT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.035277979
SWP,MONTGOMERY CO WATER DISTRICT #1,NS,MERIDIAN BRICK - STANTON PLANT,50,9.032770864
SWP,SO WOODFORD CO WATER DISTRICT,NS,GREENHECK FAN CORP KENTUCKY,25,9.02504526
SW,BEREA MUNICIPAL UTILITIES,NS,MIKRON INDUSTRIES INC,50,9.024779326
SWP,MORTONS GAP WATER DEPARTMENT,NS,ELECTRO CYCLE INC,50,9.020665784
SWP,NE WOODFORD CO WATER DISTRICT,NS,MITSUI KINZOKU CATALYSTS AMERICA INC,25,9.020317312
SWP,BLUEGRASS STATION,NS,WINCHESTER FARMS DAIRY,25,9.018738054
SW,PADUCAH WATER WORKS,8.61,ARCOSA MARINE PRODUCTS INC PLT 1245,50,9.010414438
SW,VERSAILLES WATER SYSTEM,NS,HAYASHI TELEMPU NA,25,9.009625223
GW,RED RIVER ROCKHOUSE,NS,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,9.004872251
SWP,BOONE-FLORENCE WATER COMMISSION,NS,ANDREWS LASER WORKS,25,8.999507219
SWP,FLORENCE WATER & SEWER,NS,ANDREWS LASER WORKS,25,8.999507219
SW,KUTTAWA WATER DEPARTMENT,NS,WESTLAKE VINYLS INC,100,8.999259421
SWP,LYON COUNTY WATER DISTRICT,NS,WESTLAKE VINYLS INC,100,8.999259421
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CARDINAL ALUMINUM CO PLANT 1,50,8.996874337
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CALDWELL TANKS INC,50,8.994041434
SWP,BOONE CO WATER & SEWER DISTRICT,NS,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,8.991774333
SWP,SCIENCE HILL WATER WORKS,NS,AHF PRODUCTS,50,8.991702751
SWP,WURTLAND WATER DEPARTMENT,NS,FEDERAL CORRECTIONAL INSTITUTION ASHLAND KY,25,8.980386795
SWP,BUFFALO TRAIL WATER ASSOC,NS,GREEN TOKAI CO - MAYSVILLE,25,8.979251725
SWP,ELKHORN WATER DISTRICT,NS,GREENHECK FAN CORP KENTUCKY,25,8.975633817
SWP,PEAKS MILL WATER DISTRICT,NS,GREENHECK FAN CORP KENTUCKY,25,8.975633817
GW,CARROLLTON UTILITIES,ND,KENTUCKY UTILITIES CO GHENT STATION,25,8.973261637
GWP,WEST CARROLL WATER DISTRICT - CARROLLTON,NS,KENTUCKY UTILITIES CO GHENT STATION,25,8.973261637
GWP,GRAYSON UTILITY COMMISSION,NS,KENTUCKY UTILITIES CO GHENT STATION,25,8.973261637
GWP,WEST CARROLL WATER DISTRICT- HENRY CO #2,NS,KENTUCKY UTILITIES CO GHENT STATION,25,8.973261637
GW,EDDY CREEK MARINA RESORT LLC,NS,TREEHOUSE FOODS,25,8.972096903
SWP,WEST SHELBY WATER DISTRICT,NS,FAURECIA INTERIOR SYSTEMS,25,8.970378799
GW,NORTH MARSHALL WATER DISTRICT #1,NS,CC METALS & ALLOYS LLC,50,8.963263506
SWP,NE WOODFORD CO WATER DISTRICT,NS,GREENHECK FAN CORP KENTUCKY,25,8.960472297
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,CYTECH PRODUCTS INC,100,8.958311977
SW,HARDIN COUNTY WATER DISTRICT #1,NS,CYTECH PRODUCTS INC,100,8.958311977
SWP,BOONE CO WATER & SEWER DISTRICT,NS,KUSTOM GROUP,100,8.954496857
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,DUPONT LOUISVILLE PLANT,100,8.948510924
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,LSC COMMUNICATIONS / GLASGOW,25,8.945452328
SWP,SACRAMENTO WATER WORKS,NS,KENAMERICAN RESOURCES INC,75,8.938895037
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,ADIENT GEORGETOWN,25,8.935256646
GW,ARLINGHAUS PROPERTY,ND,EAGLE MANUFACTURING LLC,25,8.9274025
GW,TRAPP WATER COMPANY,ND,EAGLE MANUFACTURING LLC,25,8.9274025
SWP,NORTH SHELBY WATER DISTRICT,NS,STEEL TECHNOLOGIES LLC,50,8.914061957
SWP,US 60 WATER DISTRICT,NS,STEEL TECHNOLOGIES LLC,50,8.914061957
SWP,SOUTHERN MADISON WATER DISTRICT,NS,RICHMOND AUTO PARTS TECHNOLOGY,25,8.902959895
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,MEYER TOOL INC,25,8.90249526
SWP,CENTERTOWN WATER SYSTEM,NS,NEO INDUSTRIES (KENTUCKY) INC,50,8.900661125
SWP,BLUEGRASS STATION,NS,CATALENT PHARMA SOLUTIONS,100,8.893525261
GW,TROCADERO PLAZA,NS,EASTERN ALLOYS OF KENTUCKY,50,8.89267446
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,AKEBONO - ELIZABETHTOWN PLANT,25,8.889781894
SW,HARDIN COUNTY WATER DISTRICT #1,NS,AKEBONO - ELIZABETHTOWN PLANT,25,8.889781894
GW,RIVER'S EDGE CAMPGROUND,NS,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,8.887852616
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CHEMOURS LOUISVILLE PLANT,100,8.887699152
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,VUTEQ USA INC,25,8.872277523
SWP,BOONE CO WATER & SEWER DISTRICT,NS,LYONS EAST,50,8.871875246
SWP,SOUTHERN MADISON WATER DISTRICT,NS,OKONITE CO INC,25,8.86936373
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,FORD LOUISVILLE ASSEMBLY,25,8.868430645
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,INTERNATIONAL CRANKSHAFT INC,50,8.859882201
SW,LEBANON WATER WORKS CO INC,NS,INOAC GROUP NA LLC,50,8.855922206
GW,ARLINGHAUS PROPERTY,ND,MUBEA INC,50,8.855410743
GW,TRAPP WATER COMPANY,ND,MUBEA INC,50,8.855410743
GW,ARLINGHAUS PROPERTY,ND,CELANESE ENGINEERED MATERIALS,100,8.852735275
GW,TRAPP WATER COMPANY,ND,CELANESE ENGINEERED MATERIALS,100,8.852735275
GW,SYMSONIA WATER DISTRICT,NS,3A COMPOSITES USA INC,50,8.851967914
GW,NORTH MARSHALL WATER DISTRICT #1,NS,EVONIK CORP,100,8.848762423
SWP,DRAKESBORO WATER DEPARTMENT,NS,US ARMY NATIONAL GUARD WENDELL FORD TRAINING CENTER RANGES,25,8.84268857
SW,LEBANON WATER WORKS CO INC,NS,CELL PAK LLC,50,8.81625384
GW,EDDY CREEK MARINA RESORT LLC,NS,WYMAN GORDON CO,50,8.816210647
SW,PAINTSVILLE MUNICIPAL WATER WORKS,NS,FEDERAL BUREAU OF PRISONS USP BIG SANDY,25,8.807571295
SW,BEREA MUNICIPAL UTILITIES,NS,AGC FLAT GLASS N AMERICA INC,50,8.80348063
SWP,BLUEGRASS STATION,NS,BODYCOTE - WINCHESTER,50,8.800496103
SWP,BLUEGRASS STATION,NS,CONTECH ENGINEERED SOLUTIONS LLC,50,8.786628441
GW,TROCADERO PLAZA,NS,BRENNTAG MID-SOUTH INC,100,8.784739845
GWP,WHITESVILLE WATER WORKS,NS,NOF - FORDSVILLE,25,8.782095262
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,MINOVA USA INC,100,8.777232009
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,MARCUS PAINT CO,100,8.764165607
GW,WARSAW WATER WORKS,ND,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,8.753870183
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,ECKART AMERICA CORP,50,8.746282766
SWP,EAST LAUREL WATER DISTRICT,NS,AISIN AUTOMOTIVE CASTING LLC,50,8.738937989
SWP,WEST LAUREL WATER ASSOC INC,NS,AISIN AUTOMOTIVE CASTING LLC,50,8.738937989
SWP,BURGIN WATER DEPARTMENT,NS,DANA SEALING MANUFACTURING LLC,50,8.730995157
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,SAFETY-KLEEN SYSTEMS LOUISVILLE (LOU),25,8.721118306
GWP,S E DAVIESS CO WATER DISTRICT,NS,HINES PRECISION INC,50,8.720637252
GWP,WEST DAVIESS CO WATER DISTRICT,NS,HINES PRECISION INC,50,8.720637252
GW,ARLINGHAUS PROPERTY,ND,ARISTECH SURFACES LLC,50,8.703929255
GW,ARLINGHAUS PROPERTY,ND,ARISTECH SURFACES LLC,50,8.703929255
GW,TRAPP WATER COMPANY,ND,ARISTECH SURFACES LLC,50,8.703929255
GW,TRAPP WATER COMPANY,ND,ARISTECH SURFACES LLC,50,8.703929255
SWP,BURGIN WATER DEPARTMENT,NS,DENYO MANUFACTURING CORP,25,8.701442093
SW,BEREA MUNICIPAL UTILITIES,NS,RICHMOND AUTO PARTS TECHNOLOGY,25,8.696104836
GW,WHITE PLAINS WATER SYSTEM,NS,JLOK CORP,100,8.694146609
GW,ARLINGHAUS PROPERTY,ND,M-I LLC SWECO DIV,25,8.690614658
GW,TRAPP WATER COMPANY,ND,M-I LLC SWECO DIV,25,8.690614658
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,BEST SANITIZERS INC,100,8.688268786
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,FAURECIA INTERIOR SYSTEMS,25,8.682713341
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,WEBASTO ROOF SYSTEMS INC,25,8.680184716
GW,ARLINGHAUS PROPERTY,ND,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,8.680032078
GW,TRAPP WATER COMPANY,ND,DUKE ENERGY KENTUCKY INC - EAST BEND GENERATING STATION,25,8.680032078
GW,ARLINGHAUS PROPERTY,ND,DIVERSIFIED STRUCTURAL COMPOSITES,50,8.675343402
GW,TRAPP WATER COMPANY,ND,DIVERSIFIED STRUCTURAL COMPOSITES,50,8.675343402
SW,SOMERSET WATER SERVICE,NS,HENDRICKSON TRAILER SUSPENSION SYSTEMS,25,8.667834269
